Naam,ID,Website,Ultimate klant,Asana_ID,Duits SEO,Wie,Land,Provincie,Toeristische Regio,latitude,longitude,Plaats,Primaire doelgroep,Omgeving,Aantal sterren,Kampeerplekken,Camperplaats,Vakantiehuizen,Chalets/stacaravans,Groepsacco's,Bijzondere acco's,Glamping,Appartementen,Events (als overnachtingslocatie),Faciliteiten,Zwemmogelijkheden,Binnenzwembad,Buitenzwembad,Zwemvijver/-meer,Buitenspeeltuin,Indoorspeeltuin,Restaurant,Bar,Supermarkt,Snackbar,Bowling,Fietsverhuur,Wellness op het park,Wellness bij accommodatie,Laadpaal,Mindervalide woningen,Kampeerplek met privé sanitair,Vismogelijkheden,Watersport,Padel,Tennis,Multicourt,Voetbalveld,Minigolf,Golf,Bootverhuur,Jachthaven,Duurzaamheid,Christelijk,Vuurwerkvrij,Animatie,Huisdier toegestaan,Kindvriendelijk,In / bij het bos,Aan zee,Aan het water (excl zee),BBQ op het park/bij woning,Accommodatie Types,pets_allowed_at_accommodation,bbq_at_accommodation,sauna_at_accommodation,jacuzzi_at_accommodation
EuroParcs Poort van Maastricht,2548,https://www.europarcspoortvanmaastricht.nl/,EP,"1,21021E+15",x,,Nederland,Limburg,Zuid-Limburg,"50,8599945","5,77242",,,"GaiaZoo, Thermae 2000, Plopsa Indoor Hasselt, Tickets met korting, Maastricht, Valkenburg, De grotten van Valkenburg, Drielandenpunt en Vaalserberg, Wielrennen Zuid-Limburg, Zien en doen overzicht, Vakwerkhuizen en asperges, Mountainbikeroutes, Kasteel Hoensbroek, Nederlands Mijnmuseum Heerlen, Holland Casino, SnowWorld, Pop on Top",,Ja,Ja,Ja,,,,Nee,,,"Fietsverhuur, Restaurant, Sauna, Binnenzwembad, Animatie, Speeltuinen, Sportvelden, Self service parkshop, Oplaadpunt elektrische auto, Foodboxen, Escape Box ''Pyramid'', Wasserette, Honden, Sanitair",Nee,,,,,,Ja,,,,,,Nee,,Ja,,,,,,,,,,,,,,,,Ja,Ja,Ja,,,,Nee,"33.3% Chalet (4), 25% Loge (3), 16.7% Glampingtent (2), 16.7% Kampeerplaats (2), 8.3% Tiny house (1)","66.7% some (8), 25% all (3), 8.3% none (1)",0% (0),0% (0),0% (0)
EuroParcs Poort van Zeeland,2549,https://www.europarcspoortvanzeeland.nl/,EP,1210207742416337,x,,Nederland,Zuid-Holland,,"51,8382347","4,0899033",,,"Tickets met korting, Sportcomplex De Eendr8, De Struytse Hoeck, Hellevoetsluis, Deltapark Neeltje Jans, Zeehondenopvang A Seal, Strand van Rockanje, Geitenboerderij De Mèkkerstee, Fiets- en wandelroutes, Middelburg, Rotterdam, Quackstrand, Diergaarde Blijdorp, Kitesurfschool Rockanje, Natuurgebied Voornes Duin, Zeilschool Hellevoetsluis, Euromast",,Nee,,Ja,,,,Nee,,,"Bootverhuur, Fietsverhuur, Friends and Bites, Strand, Animatieactiviteiten, Vuurwerkarm, Minimarkt & broodjesservice, Escape Box ''Pyramid'', E-chopper verhuur, Speeltuin, Hond mee op vakantie?, Wasserette, Vissen vanaf de boot, Foodboxen, Adventuredome, Bereikbaarheid openbaar vervoer",Nee,,,,,,,,,,,Ja,,,Nee,,,,,,,,,,,,,,,,Ja,Ja,Ja,,,,Nee,"44.8% Loge (13), 34.5% Chalet (10), 17.2% Grote accommodatie (5), 3.4% Tiny house (1)","48.3% all (14), 48.3% some (14), 3.4% none (1)",0% (0),3.4% (1),0% (0)
EuroParcs Pressegger See,2550,https://www.europarcspresseggersee.at/,EP,1210207742416582,x,,Oostenrijk,,,"46,6322103","13,4463523",,,"Burg Landskron, Garnitzenklamm, Nassfeld, Pressegger See, Weissensee, Villach, Klagenfurt, Suppen, COOL´S Rafting and Outdoor Activities, Skiën in Nassfeld",,Ja,Ja,Ja,,,,Ja,,,"AlpinSPA bij EuroParcs Hermagor · Nassfeld, Massage, Fitnessruimte, Wintersport, WinterCard PREMIUM, Gratis +CARD Holiday, Skibus, Restaurant, Speeltuin, Escape Box ''Pyramid'', Animatie, Buitenzwembad, Strandbad van Schluga, Air Trampoline, Strandbad Hermagor, Parkshop, Bus, Broodjesservice, Sportwinkel, Melkautomaat, Droogruimte voor ski's, Wasserette",Nee,,,,,,Ja,,,,,,,,Nee,,Ja,,,,,,,,,,,,,,Ja,Ja,Ja,,,,Nee,"53.3% Loge (8), 40% Chalet (6), 6.7% Kampeerplaats (1)","53.3% all (8), 40% some (6), 6.7% none (1)",0% (0),0% (0),0% (0)
EuroParcs Reestervallei,2551,https://www.europarcsreestervallei.nl/,EP,1210206602218625,x,,Nederland,Overijssel,Vechtdal,"52,6539087","6,3117822",,,"Nationaal Park Weerribben-Wieden, Giethoorn, Fiets- en wandelroutes, Hunebedcentrum, Verkeers & Attractiepark Duinen Zathe, Attractiepark Slagharen, Plopsa Indoor Coevorden, Tickets met korting, Speelvijver Zwarte Dennen, De Flierefluiter, Wildlands Adventure Zoo, Strand Nijstad, Zwolle, Speel- en ijsboerderij De Drentse Koe, Fiets- en wandelroutes Drenthe, Vogelpark Ruinen, Meppel, Nationaal Park Dwingelderveld, De Luie Tuinman, Staphorst",,Ja,Ja,Ja,,,,Ja,,,"Snackbar, Fietsverhuur, Dierenweide, Buitenzwembad, Escape Box ''Pyramid'', Speeltuin, Broodjesservice, Hond mee op vakantie?, Foodboxen, Wasserette",Ja,,Ja,,,,,,,,,Ja,,"Ja, accommodaties met sauna",Nee,,,,,,,,,,,,,,,,,Ja,Ja,,,,"Ja, barbecue services","45.7% Loge (16), 31.4% Chalet (11), 8.6% Tiny house (3), 5.7% Glampingtent (2), 2.9% Groepsaccommodatie (1), 2.9% Grote accommodatie (1), 2.9% Kampeerplaats (1)","74.3% all (26), 22.9% some (8), 2.9% none (1)",0% (0),2.9% (1),0% (0)
EuroParcs Ruinen,2553,https://www.europarcsruinen.nl/,EP,1210206602218345,x,,Nederland,Drenthe ,,"52,7748708","6,3695654",,,"Verkeers & Attractiepark Duinen Zathe, Attractiepark Slagharen, Plopsa Indoor Coevorden, Tickets met korting, Nationaal Park Dwingelderveld, Fiets- en wandelroutes Drenthe, Speel- en ijsboerderij De Drentse Koe, Wildlands Adventure Zoo, Herinneringscentrum Kamp Westerbork, Klimbos Appelscha, Geopark De Hondsrug, Atelier en Galerie Femke Anne, Nationaal Park Drents-Friese Wold, Meppel, Shakespearetheater, Giethoorn, De Luie Tuinman, Strand Nijstad, De Sluisdagen, Museum De Proefkolonie, Vogelpark Ruinen, Nationaal Park Weerribben-Wieden",,Ja,Ja,Ja,,,,Ja,,,"Animatie, Binnenzwembad, Minigolf, Fietsverhuur, Buitenzwembad Ruinen, E-Chopper verhuur, Sauna, Escape Box ''Pyramid'', Indoor speeltuin, Kinderboerderij, Tickets voor uitjes, Snackbar, Foodboxen, Restaurant, Sanitair, Self service parkshop, Hond mee op vakantie?, Speeltuinen, Wasserette, Hondenspeelweide, Natuurspeeltuin, Hondenroute op het park",Nee,,,,,,Ja,,,,,Ja,"Ja, Hottub",,Nee,,,,,,,,,,,,,,,,Ja ,Ja,Ja,,,,Nee,"48.4% Loge (15), 22.6% Chalet (7), 9.7% Glampingtent (3), 6.5% Bijzondere accommodatie (2), 6.5% Tiny house (2), 6.5% Kampeerplaats (2)","64.5% all (20), 32.3% some (10), 3.2% none (1)",0% (0),0% (0),9.7% (3)
EuroParcs Schoneveld,2554,https://www.europarcsschoneveld.nl/,EP,1210207742416757,x,,Nederland,Zeeland,,"51,401074","3,534103",,,"Deltapark Neeltje Jans, Maritiem Muzeeum Zeeland, Tickets met korting, Knokke-Heist, Vlissingen, Breskens, Sluis, Gastvrij Zeeuws Vlaanderen, Fiets- en wandelroutes Breskens, Rondvaart Westerschelde, Natuurpark Het Zwin, Brugge",,Nee,,Ja,,,,Nee,,,"Bowlingcentrum, Restaurant, Fietsverhuur, Indoor speelruimte, Vuurwerkvrij, Animatieactiviteiten, Snackbar, Wasserette, Foodboxen, E-chopper verhuur, Tickets met korting, Escape Box ''Pyramid'', Speeltuinen, Overdekt zwembad, Parkshop, Wellnesscentrum",Nee,,,,,,Ja,,,,,,"Ja, sauna, hottub en jacuzzi",,Nee,,Ja,,,,,,,,,,,,,,Ja,Ja,Ja,,,,Ja Kamado BBQ,"71.4% Loge (35), 26.5% Chalet (13), 2% Hotel-Studio (1)","51% all (25), 46.9% some (23), 2% none (1)",0% (0),0% (0),0% (0)
EuroParcs Spaarnwoude,2555,https://www.europarcsspaarnwoude.nl/,EP,1210207742416477,x,,Nederland,Noord-Holland,,"52,3954198","4,753829",,,"Artis, Body Worlds, Lovers Canal Cruises, Tickets met korting, Amsterdam, Haarlem, Alkmaar, Zaanse Schans, Recreatiegebied Twiske-Waterland, Batavia Stad Fashion Outlet, Golfbaan Spaarnwoude, Amsterdam The Style Outlet, Fort Resort Beemster, Klimpark Fun Forest Amsterdam, Monnickendam, Boot huren, Volendam, SnowWorld, Edam, Schermer Molens",,Nee,,Ja,,,,Nee,,,"Binnenzwembad & Wellness, Restaurant, Fietsverhuur, Fitness, Activiteitenkalender, Bereikbaarheid openbaar vervoer, Foodboxen, Parkshop, Ontbijt Service, Escape Box ''Pyramid'', Snackbar, Dierenweide, Hond mee op vakantie?, Skelterverhuur, Speeltuinen, Wasserette, Vuurwerkarm, Tickets met korting",Ja,Ja,,,,,Ja,,,,,Ja,"Ja, privé wellness en centrale wellness ruimte",,Nee,,,,,,,,,,,,,,,,,Ja,Ja,,,,"Ja, barbecue services","53.5% Loge (23), 34.9% Chalet (15), 4.7% Grote accommodatie (2), 4.7% Active Owner Accommodaties (2), 2.3% Bijzondere accommodatie (1)","44.2% some (19), 39.5% all (17), 16.3% none (7)",0% (0),2.3% (1),0% (0)
EuroParcs Texel,2517,https://www.europarcstexel.nl/,EP,"1,21021E+15",x,,Nederland,Texel ,,"53,0993967","4,8040867",,,"Vuurtoren Texel, Ecomare, Schapenboerderij Texel, Museum Kaap Skil, Tickets met korting, Oudheidkamer Texel, Museum Waelstee, Veerdienst Den Helder, Maritiem- en juttersmuseum Flora, Restaurants Texel, Supermarkten Texel, IJsboerderij Labora, Markt Texel, Wandelen en fietsen Texel, Texelhopper, Zwembaden Texel, Texelse Brouwerij, De Slufter, Rondvaarten Texel",,Nee,,Ja,,,,Nee,,,"Activiteitenkalender, Animatieruimte, Broodjesservice, Fietsverhuur, Speelweide, Receptie, Escape Box ''Pyramid'', Wasserette, Vuurwerkvrij, Tafeltennis",Nee,,,,,,,,,,,Ja,"Ja, hottub en sauna",,Nee,,,,,,,,,,,,,,,,Ja,Ja,Ja,,,,"Ja, Kamado BBQ ","42.9% Vakantiehuis (3), 28.6% Chalet (2), 28.6% Loge (2)","42.9% all (3), 28.6% none (2), 28.6% some (2)",0% (0),42.9% (3),42.9% (3)
EuroParcs Veluwemeer,2502,https://www.europarcsveluwemeer.nl/,EP,1210207795900012,x,Rick,Nederland,Gelderland,"Veluwemeer, Veluwe","52,3918223","5,7350132",,,"Dolfinarium, Walibi Holland, Luchthavenmuseum Aviodrome, Tickets met korting, Fiets- en wandelroutes, Batavia Stad Fashion Outlet, Veluwemeer, Nunspeet, Harderwijk, Het Verscholen Dorp",Onbekend,Nee,Nee,Ja,Ja,Ja,Ja,Ja,Nee,"Lowlands, Defqon","Animatieactiviteiten, Buitenzwembad, Minimarkt, Restaurant, Watersport centrum, Jachthaven, Bootverhuur, Escape Box ''Pyramid'', Strand, Hond mee op vakantie?, Wasserette, Oplaadpunt elektrische auto, Foodboxen, Vuurwerkarm, Snackbar, Fietsverhuur, E-chopperverhuur, Interactieve speeltoestellen",Ja,Nee,Ja,Ja,Ja,Nee,Ja,Nee,Ja,Ja,Nee,Ja,Nee,"Ja, accommodaties met sauna en hottub",Ja,,,Ja,Ja,Nee,Nee,Ja,Ja,Ja,Nee,Ja,Ja,,Nee,Ja,Ja,Ja,Ja,Nee,Nee,"Ja, meer",Ja Kamado BBQ,"35% Loge (14), 32.5% Chalet (13), 12.5% Grote accommodatie (5), 7.5% Tiny house (3), 7.5% Glampingtent (3), 2.5% Ligplaatsen (1), 2.5% Active Owner Accommodaties (1)","67.5% all (27), 25% some (10), 7.5% none (3)",0% (0),5% (2),2.5% (1)
EuroParcs Wörthersee,2557,https://www.europarcsworthersee.at/,EP,1210206602218695,x,,Oostenrijk ,Karinthië ,,"46,6177913","14,1040557",,,"Klagenfurt, Pyramidenkogel, Minimundus, Villach, Reptilienzoo Happ, Kasteel Hochosterwitz, Zauberwald Rauschelesee, Burg Landskron",,Ja,Ja,Ja,,,,Nee,,,"Wörthersee Plus Card/Fietsverhuur, Broodjesservice, Privétoegang tot het meer en zwemsteiger, Parkshop, Game room, Escape Box ''Pyramid'', Sanitair, Wasserette, Honden toegestaan, Openbaar vervoer",Nee,,,,,,,,,,,Ja,,,Nee,,,,,,,,,,,,,,,,,Ja,Ja,,,,Nee,"25% Appartement (4), 18.8% Chalet (3), 12.5% Hotel-Studio (2), 12.5% Loge (2), 12.5% Kampeerplaats (2), 12.5% Trekkershut (2), 6.3% Vakantiehuis (1)","81.3% all (13), 12.5% none (2), 6.3% some (1)",0% (0),0% (0),0% (0)
EuroParcs Zilverstrand,2558,https://www.europarcszilverstrand.be/,EP,1210204263332961,x,,België,Antwerpen ,,"51,2097444","5,1722133",,,"Bobbejaanland, Rofra Kanotocht Borkel, Plopsa Indoor, Tickets met korting, Antwerpen, Fiets- en wandelroutes, GlazenHuis, Zilvermeer, De 15 Kapellekes, Pakawi Park, Overnachten tijdens Graspop?, 't Soete, Nationaal Park Hoge Kempen, Hasselt, Abdij van Postel, Lommelse Sahara",,Ja,Ja,Ja,,,,Ja,,,"Overdekt zwembad, Restaurant, Fietsverhuur, Indoor en outdoor speeltuin, Natuurbad, Sup verhuur, Minimarket, Hond mee op vakantie?, Vuurwerkvrij, Snackbar, Animatie, Beachbar, E-chopper verhuur, Escape Box ''Pyramid'', Foodboxen, Visvijver",Nee,,,,,,Ja,Ja,,,,Ja,,,Nee,,,,,,,,,,,,,,,,Ja,Ja,Ja ,,,,Nee,"40.4% Loge (19), 27.7% Chalet (13), 12.8% Glampingtent (6), 6.4% Stacaravan (3), 6.4% Kampeerplaats (3), 4.3% Appartement (2), 2.1% Groepsaccommodatie (1)","38.3% all (18), 34% some (16), 27.7% none (13)",0% (0),0% (0),0% (0)
EuroParcs Zuiderzee,2559,https://www.europarcs-zuiderzee.nl/,EP,"1,21021E+15",x,,Nederland,Flevoland ,Veluwemeer,"52,4465001","5,7938028",,,"Walibi Holland, Tickets met korting, Elburg, Batavia Stad Fashion Outlet, Indoor zandsculpturen tentoonstelling, Fiets- en wandelroutes, Dolfinarium, Luchthavenmuseum Aviodrome, Kampen, Batavialand, Nationaal Park Nieuw Land, Klimbos Harderwijk, Harderwijk, Dierenpark Amersfoort, Nunspeet, Zwolle, Sauna- en wellnessresort Zwaluwhoeve",,Ja,Ja,Ja,,,,Ja,,,"Binnenzwembad, Animatie, Yuki's Winter Wonderland, Bowlingbaan, Pizzeria, Speeltuinen en sportvelden, Supermarkt, Tiener Chill out, Strand, Minigolf, Café, Beachclub Zuiderzee, Escape Box ''Pyramid'', Indoorspeeltuin, Snackbar, Restaurant, Bootverhuur, Camping | Kamperen, Jachthaven Rivièra Beach, Glamping, Wasserette, Fietsverhuur, Foodboxen, E-chopper verhuur, Spelletjeshal, Yuki speurtocht",Nee,,,,,,Ja,,Ja,,Ja,,"Ja, Hottub en Sauna ",,Nee,,Ja,,,,,,,,,,,,,,Ja,Ja,Ja,,,,Nee,"31.8% Loge (35), 20.9% Chalet (23), 20% Ligplaatsen (22), 9.1% Grote accommodatie (10), 6.4% Glampingtent (7), 4.5% Tiny house (5), 3.6% Kampeerplaats (4), 1.8% Bijzondere accommodatie (2), 0.9% Wellness suite (1), 0.9% Active Owner Accommodaties (1)","60% all (66), 29.1% some (32), 10.9% none (12)",0% (0),4.5% (5),3.6% (4)
Austria Parks Camping am Arlberg,2172,https://www.austria-parks.com/camping-am-arlberg,x,1205779469461391,x,Caner,Oostenrijk ,Tirol,,"47,1446995","10,3378524",,,"Skiing area Arlberg, Snow parks, Tobogganing, Winter competitions, Vibrant nightlife and après-ski, Sports park arl.rock, Museum St. Anton, Culinary bliss, Art gallery Arlberg, Museum Alter Nessler Thaja, Winter walk across the Arlberg, Bus to St. Anton, Hiking routes, Cycling, mountain biking, and speed cycling, Mountainbike mountain EldoRADo Bike Areal Verwall, Rope course Verwalltal | Camping am Arlberg | Austria Parks, GPS treasure hunt, Sports park arl.rock, Museum St. Anton, Culinary bliss, Art gallery Arlberg, Museum Alter Nessler Thaja",,Ja,Ja,Ja,Ja,Nee,Nee,Nee,Nee,Nee,"Playground, Private sanitary facilities, Pizzeria il Gatto, Wellness Park Arlberg, WiFi",Nee,Nee,Nee,Nee,Ja,Nee,Ja,Nee,Nee,Nee,Nee,Nee,"Nee, wel een naastgelegen sauna met korting",,Nee,Nee,Ja,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,,Ja,Ja,Ja,Nee,  Nee                                       ,Nee,"55.6% Vakantiehuizen (5), 44.4% Kampeerplaatsen (4)","66.7% all (6), 33.3% none (3)",0% (0),0% (0),0% (0)
Austria Parks Camping Leutasch,2171,https://www.austria-parks.com/camping-leutasch,x,1205779469461391,x,C,Oostenrijk ,Tirol,,"47,39826","11,18024",,,"Seefeld, Ice skating and curling, Cross-country skiing, Snowshoe hike, Swarovski Crystal Worlds Wattens, Tobogganing, Ganghofer Museum, Casino Seefeld, Katzenkopf, Innsbruck, Ski region Seefeld, Seefeld, Cycling and mountain biking, Swarovski Crystal Worlds Wattens, Nature Park Karwendel, Hiking routes, Summer sports, Ganghofer Museum, Casino Seefeld, Innsbruck, Leutascher Geisterklamm",,Ja,,Ja,,,,Nee,,,"Swimming pool & wellness, Wellness, Playground, La Locandiera, Der Campingkorb, Breakfast service, Fitness, Private sanitary facilities, Launderette, Heated ski room, Langlaufloipe, Bike rental, Indoor play area, Dog shower",Nee,Nee,Nee,Nee,Ja,Nee,Ja,Nee ,Nee,Nee,Nee,Nee,"Nee, wel een naastgelegen sauna met korting",,Nee,Nee,Ja,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,,Ja,Ja,Ja,Nee,Nee,Nee,"45.5% Vakantiehuizen (5), 27.3% Kampeerplaatsen (3), 27.3% Kamers (3)","90.9% all (10), 9.1% some (1)",9.1% (1),0% (0),0% (0)
Beach Resort Makkum,1910,https://www.makkumbeach.nl/,x,1202535492682908,x,Caner,Nederland,Friesland,,"53,0485191","5,3886838",,,"Wellness De Leliehof, Wellness de Woudfennen, openluchtzwembad Mounewetter, indoor subtropische zwembad Swimfun, IJsselmeer, Makkumersudwaard, Friese Museumdorp, Kazematten Museum, Afsluitdijk Wadden Center, speelparadijs Ballorig Sneek, Kameleondorp, Aqua zoo, Kinderboederij, dieren- en speelpark Sanjesfertier, Waterskibaan, bioscoop, golfbaan, karten, lasergame, waddeneilanden, Skutsjesilen, kaatsen, fierlkeppen, ringsteken, Gierhoorn",,Nee,,Ja,,,,Nee,,,"Strand en IJsselmeer, Bootverhuur, Fietsverhuur, Snackbar Captains Corner, Strandhuys Makkum, Midgetgold, Skelters, Biljartvoetbal",Nee,Nee,Nee,Nee,Nee,Nee,Ja,Ja,Nee,Nee,Nee,Ja,Nee,"Ja, accommodaties met sauna en/of hottub",Ja,Nee,Nee,Ja,Nee,Nee,Nee,Nee,Nee,Ja,Nee,Ja,Nee,Nee,Nee,Nee,,Ja,Ja,Nee,Ja,Ja,,"55.1% Villa's (43), 30.8% Bungalows (24), 14.1% Appartementen (11)","57.7% all (45), 30.8% none (24), 11.5% some (9)",0% (0),42.3% (33),7.7% (6)
Berkenrhode,1206,https://www.berkenrhode.nl/,x,1142956324066794,x,Caner,Nederland,Gelderland,Veluwe,"52,101987","5,7270923",,,"Wandelen, Fietsen, Ede, Arnhem, Apeldoorn, Kröller-Müller Museum, Wild spotten, Gelderse Streken, Hallo Wisent!, Edese Golf Club, Kröller-Müller Museum, Apenheul, Burgers' Zoo, Dolfinarium, Julianatoren, Openluchtmuseum, Paleis het Loo, Schateiland Zeumeren, Thermen Bussloo, Zwembad de Peppel Ede, Ijzertijdboerderij, Speelgoedmuseum, Zandsculpturen, Klimbos Garderen, Sauna de Veluwe, Het Aardhuis, Rondje Wekeromse Zand",,Nee,,Ja,,,,Nee,,,"Le Grand Café, Dog Wash, Cafetaria, Eten aan huis, Fietsverhuur, E-Choppers huren, Elektrische scooters huren, Privé Spa & Wellness, Speeltuinen, Zwembad, Wasserette, Receptie, Duurzaamheid op Park Berkenrhode, Scootmobiel verhuur",Ja,Nee,Ja,Ja,Ja,Nee,Ja,Nee,Nee,Nee,Nee,Ja,Ja,"Ja, accommodaties met privé spa en wellness",Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,"Ja, in vakantieperiodes",Ja,Ja,Ja,Nee,Nee,,100% Vakantiehuizen (63),"77.8% all (49), 15.9% some (10), 6.3% none (4)",0% (0),44.4% (28),52.4% (33)
Bonte Vlucht,461,https://www.bontevlucht.nl/,x,1203413202820979,x,Caner,Nederland,Utrecht,Utrechtse Heuvelrug,"52,0317141","5,388801",,,"Huis Doorn, Kaasmuseum De Weistaar, Museum Dorestad, Utrechtse Heuvelrug, Mondriaanhuis, Militair luchtvaartmuseum, Kade Kunsthal, De Utrechtse Domtoren, Spoorwegmuseum, Dick Bruna huis, Kasteel de Haar",,Ja,,Ja,,,,Ja,,,"Het zwembad, Restaurant, terras en snackbar, Fietsverhuur, Kidsclub, Speeltuinen en sportveld, Broodjes service",Ja,Nee,Ja,Nee,Ja,Nee,Ja,Nee,Nee,Nee,Nee,Nee,Nee,,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,"Ja, in schoolvakanties",Nee,Ja,Ja,Nee,Nee,,"52% Vakantiehuizen (13), 32% Andere accommodaties (8), 16% Kampeerplaatsen (4)","72% all (18), 24% none (6), 4% some (1)",0% (0),0% (0),0% (0)
Clofers Active Apartments Sonnleitn,1365,https://www.clofers.com/nl/sonnleitn-active-apartments,x,1210325044995898,x,,Oostenrijk ,Karinthië ,,"46,58422","13,25611",,,"Skieen en snowboarden, Langlaufen, Paardrijtocht, Sneeuwschoenwandelen, Wellness, Rodelen, Klimmen, Schaatsen, Skitouren, Pressegger See, Weissensee, Wurthersee, Suppen, Mountainbiken, Golfen, Trailrunning, Wandelen, Raften, Canyoning, Kletterwal Ossiacher See, Megadive, Outdoor Park Nassfeld, Paardrijden, Zomer Rodelbaan Pendolino",,,,,,,,,,,"Clofers Cafe ""Bei Reiter"", Skibus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100% Vakantiehuizen (3),"66.7% all (2), 33.3% none (1)",66.7% (2),66.7% (2),0% (0)
Clofers Leisure Lodges Jenig,1363,https://www.clofers.com/nl/jenig-leisure-lodges,x,1210325044995898,x,,Oostenrijk ,Karinthië ,,"46,6289661","13,2528788",,,"Skieen en snowboarden, Langlaufen, Paardrijtocht, Sneeuwschoenwandelen, Wellness, Rodelen, Klimmen, Schaatsen, Skitouren, Pressegger See, Weissensee, Wurthersee, Suppen, Mountainbiken, Golfen, Trailrunning, Wandelen, Raften, Canyoning, Kletterwal Ossiacher See, Megadive, Outdoor Park Nassfeld, Paardrijden, Zomer Rodelbaan Pendolino",,,,,,,,,,,"Clofers Cafe ""Bei Reiter"", Skibus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100% Vakantiehuizen (5),"80% none (4), 20% all (1)",80% (4),0% (0),0% (0)
Clofers Nature Chalets Obermöschach,1774,https://www.clofers.com/obermoeschach-nature-chalets,x,1210325044995898,x,,Oostenrijk ,Karinthië ,,"46,63639485","13,34826586",,,"Skieen en snowboarden, Langlaufen, Paardrijtocht, Sneeuwschoenwandelen, Wellness, Rodelen, Klimmen, Schaatsen, Skitouren, Pressegger See, Weissensee, Wurthersee, Suppen, Mountainbiken, Golfen, Trailrunning, Wandelen, Raften, Canyoning, Kletterwal Ossiacher See, Megadive, Outdoor Park Nassfeld, Paardrijden, Zomer Rodelbaan Pendolino",,,,,,,,,,,"Clofers Cafe ""Bei Reiter"", Skibus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100% Vakantiehuizen (6),100% none (6),33.3% (2),66.7% (4),0% (0)
Clofers Relax Residences Rattendorf,1364,https://www.clofers.com/nl/rattendorf-relax-residences,x,1210325044995898,x,,Oostenrijk ,Karinthië ,,"46,62159","13,25263",,,"Skieen en snowboarden, Langlaufen, Paardrijtocht, Sneeuwschoenwandelen, Wellness, Rodelen, Klimmen, Schaatsen, Skitouren, Pressegger See, Weissensee, Wurthersee, Suppen, Mountainbiken, Golfen, Trailrunning, Wandelen, Raften, Canyoning, Kletterwal Ossiacher See, Megadive, Outdoor Park Nassfeld, Paardrijden, Zomer Rodelbaan Pendolino",,,,,,,,,,,"Clofers Cafe ""Bei Reiter"", Skibus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"58.8% Vakantiehuizen (10), 41.2% Appartementen (7)","58.8% none (10), 41.2% all (7)",52.9% (9),17.6% (3),0% (0)
De Ossenberg,562,https://www.deossenberg.nl/,x,1203413202821127,x,Caner,Nederland,Utrecht,Utrechtse Heuvelrug,"52,0305448","5,4893667",,,"Kasteel Amerongen, Andrieskerk, Ouwehands Dierenpark, Nationaal Park Utrechtse Heuvelrug, Huis Doorn",,Nee,,Ja,,,,Nee,,,"Buitenzwembad, Multifunctionele baan, Wasserette, Café, Diverse speeltuinen, Kidsclub Holly, Fietsverhuur",Ja,Nee,Ja,Ja,Ja,Nee,Ja,Nee,Nee,Nee,Nee,Ja,Nee,,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,"Ja, in het hoogseizoen",Ja,Nee,Ja,Nee,Nee,,100% Vakantiehuizen (10),"40% all (4), 40% none (4), 20% some (2)",0% (0),0% (0),0% (0)
De Parel,1902,https://www.deparel.com/,x,1202598046119877,x,Caner,Nederland,Flevoland,,"52,3328591","5,4923163",,,"Natuurgebied Horsterwold, Fietsen & wandelen, Wijngoed wilgenhorst, golfclub zeewolde, Priembos, Voorlanden, Natuurpark Lelystad, Suppen, Kanoen, Kite- of windsurfen, Bootje huren, Vissen, Strand, Amsterdam, Dolfinarium, Walibi Holland",,Ja,,Ja,,,,Ja,,,"Wellness Area, Restaurant De Parel, Extra's, Water, Activiteiten, Fietsverhuur, Honden, Sport en spel",Nee,,,,,,Ja,,,,,,"Ja, hottubs op het park",,,,,,,,,,,,,,,,,,,Ja,Ja,,,,Barbecue te huur op het park,"63.6% Vakantiehuizen (14), 31.8% Glamping (7), 4.5% Camper/Caravanplaatsen (1)","63.6% all (14), 36.4% some (8)",31.8% (7),9.1% (2),45.5% (10)
